abandon	abandoned	abandoned	abandoning	0	छोड़देना
abase	abased	abased	abasing	0	अवमानितकरना
abate	abated	abated	abating	0	कमहोना
abbreviate	abbreviated	abbreviated	abbreviating	0	संक्षिप्तकरना
abdicate	abdicated	abdicated	abdicating	0	स्वेच्छासेछोड़ना
abduct	abducted	abducted	abducting	0	अपहरणकरना
abet	abeted	abeted	abeting	0	उकसाना{बुरेकामकेलिये}
abhor	abhorred	abhorred	abhorring	0	घृणाकरना
abide	abided	abided	abiding	1	सहनकरना; एकजगहरहना
abjure	abjured	abjured	abjuring	0	शपथत्यागकरना
abolish	abolished	abolished	abolishing	0	उन्मूलनकरना[होना]
abort	aborted	aborted	aborting	0	गर्भपातहोना; छोड़देना{अधूरा}
abound	abounded	abounded	abounding	0	बहुतायातसेहोना
abrade	abraded	abraded	abrading	0	घिसना
abridge	abridged	abridged	abridging	0	संक्षेपणकरना
abrogate	abrogated	abrogated	abrogating	0	रद्दकरना
abscond	absconded	absconded	absconding	0	फरारहोना
absent	absented	absented	absenting	0	अनुपस्थितहोना
absolve	absolved	absolved	absolving	0	विमुक्तकरना; क्षमाकरना
absorb	absorbed	absorbed	absorbing	0	सोखना; ग्रहणकरना
abstain	abstained	abstained	abstaining	0	परहेज़करना; सेदूररहना
abstract	abstracted	abstracted	abstracting	0	हटालेना; संक्षिप्तबनाना; संक्षेपकरना
abuse	abused	abused	abusing	0	दुर्व्यवहारकरना
abut	abuted	abuted	abuting	0	मिलना
accede	acceded	acceded	acceding	0	स्वीकारकरना
accelerate	accelerated	accelerated	accelerating	0	चालबढ़ाना
accent	accented	accented	accenting	0	स्वरउच्चारणकरना
accentuate	accentuated	accentuated	accentuating	0	जोरदेना
accept	accepted	accepted	accepting	0	स्वीकारकरना
access	accessed	accessed	accessing	0	पहुँचना
acclaim	acclaimed	acclaimed	acclaiming	0	वाहवाहकरना
acclimatize	acclimatized	acclimatized	acclimatizing	0	दशानुकूलितहोना[करना]
accommodate	accommodated	accommodated	accommodating	0	रह[रख]सकना; समाविष्टकरना[कराना]; समायोजितकरना; सहायताकरना
accompany	accompanied	accompanied	accompanying	0	साथहोना[जाना]; संगतकरना
accomplish	accomplished	accomplished	accomplishing	0	पूराकरना
accord	accorded	accorded	according	0	मिलना[मिलाना]; देना
accost	accosted	accosted	accosting	0	संबोधनकरना
account	accounted	accounted	accounting	0	कुछहोनेकीआशंका; मानना; निश्चितमात्रामेंहोना
accredit	accredited	accredited	accrediting	0	प्रत्यायितकरना; श्रेयदेना
accrue	accrued	accrued	accruing	0	बढ़ना; इकठ्ठाहोना
accumulate	accumulated	accumulated	accumulating	0	संचयकरना
accuse	accused	accused	accusing	0	दोषलगाना
accustom	accustomed	accustomed	accustoming	0	अभ्यस्तहोना
ache	ached	ached	aching	0	दर्दकरना
achieve	achieved	achieved	achieving	0	पूराकरना
acidify	acidified	acidified	acidifying	0	अम्लकरना
acknowledge	acknowledged	acknowledged	acknowledging	0	स्वीकारकरना
acquaint	acquainted	acquainted	acquainting	0	अवगतकरना[कराना]
acquiesce	acquiesced	acquiesced	acquiescing	0	बिनाविरोधकेस्वीकारकरना
acquire	acquired	acquired	acquiring	0	अर्जनकरना
acquit	acquitted	acquitted	acquitting	0	दोषमुक्तकरना
act	acted	acted	acting	0	कामकरना; अभिनयकरना
activate	activated	activated	activating	0	सक्रियकरना
actuate	actuated	actuated	actuating	0	परिचालितकरना
adapt	adapted	adapted	adapting	0	अनुकूल बनाना; के लिऐ रूपांतरित करना
add	added	added	adding	0	जोड़ना; बढाना; मिलाना
address	addressed	addressed	addressing	0	पतालिखना; भाषणदेना; निवेदनकरना; उपाधिदेना; वाकिफकरना[होना]
adduce	adduced	adduced	adducing	0	प्रमाणदेना
adhere	adhered	adhered	adhering	0	पालनकरना; चिपकना
adjoin	adjoined	adjoined	adjoining	0	संयुक्तहोना[करना]
adjourn	adjourned	adjourned	adjourning	0	स्थगितकरना; कुछसमयकेलिएरोकना; स्थानांतरितकरना[होना]
adjudge	adjudged	adjudged	adjudging	0	निर्णयकरना[देना]
adjudicate	adjudicated	adjudicated	adjudicating	0	मुकदमेकानिर्णयकरना; न्यायाधीशबनना
adjure	adjured	adjured	adjuring	0	शपथदिलाकरपूछना
adjust	adjusted	adjusted	adjusting	0	अनुकूलबनाना; व्यवस्थितकरना; बराबरकरना
administer	administered	administered	administering	0	प्रबन्धकरना; प्रशासनकरना; प्रभावमेंलाना; देना
admire	admired	admired	admiring	0	प्रशंसाकरना
admit	admitted	admitted	admitting	0	स्वीकारकरना; प्रवेशदेना; भर्तीकरना
admonish	admonished	admonished	admonishing	0	साधारणचेतावनीदेना; गम्भीरतासेसलाहदेना
adopt	adopted	adopted	adopting	0	गोदलेना; ग्रहणकरना; स्वीकारकरना; मानना
adore	adored	adored	adoring	0	आराधनाकरना; बहुतपसन्दकरना
adorn	adorned	adorned	adorning	0	सजाना
adulterate	adulterated	adulterated	adulterating	0	मिलावटकर
adumbrate	adumbrated	adumbrated	adumbrating	0	अस्पष्टरूपसेसमझाना; पूर्वसूचनादेना
advance	advanced	advanced	advancing	0	आगेबढ़ना[बढाना]; प्रगतिकरना; अग्रिमराशिदेना; विचारयासुझावदेना; निश्चितसमयसेपूर्वकरना
advantage	advantaged	advantaged	advantaging	0	पूराफायदाउठाना
advertise	advertised	advertised	advertising	0	विज्ञापनदेना
advise	advised	advised	advising	0	सलाहदेना; सूचितकरना
advocate	advocated	advocated	advocating	0	वकालतकरना
aerate	aerated	aerated	aerating	0	हवाभरना
affect	affected	affected	affecting	0	प्रभावडालना; बहानाकरना
affiliate	affiliated	affiliated	affiliating	0	सहबद्धकरना{किसीछोटीसंस्थाकोबड़ीसंस्थासे}
affirm	affirmed	affirmed	affirming	0	प्रमाणितकरना; दृढ़तापुर्वककहना
affix	affixed	affixed	affixing	0	संयुक्तकरना; जोड़ना
afflict	afflicted	afflicted	afflicting	0	त्रस्तहोना[करना]
afford	afforded	afforded	affording	0	वहनकरपाना; जुटापाना{धन}
afforest	afforested	afforested	afforesting	0	जंगललगाना
affront	affronted	affronted	affronting	0	अपमानितकरना
age	aged	aged	aging	0	उम्रबढ़ना; बड़ाहोजाना; पुरानाहोना
aggravate	aggravated	aggravated	aggravating	0	उत्तेजितकरना; क्रोधितकरना
aggrieve	aggrieved	aggrieved	aggrieving	0	दुखदेना
agitate	agitated	agitated	agitating	0	हलचलमचाना
agonize	agonized	agonized	agonizing	0	अत्यन्तपीड़ितहोना
agree	agreed	agreed	agreeing	0	सहमतहोना
aid	aided	aided	aiding	0	मददकरना
ail	ailed	ailed	ailing	0	कष्ट देना{दु:ख देना}
aim	aimed	aimed	aiming	0	लक्षितकरना; निशानाबनाना
air	aired	aired	airing	0	हवा देना; व्यक्तकरना
airlift	airlifted	airlifted	airlifting	0	हवाई जहाज द्वारा लोगो या सामानों को लाना-लेजाना
alienate	alienated	alienated	alienating	0	विमुखकरना
alight	alighted	alighted	alighting	0	नीचेआना; उतरना
align	aligned	aligned	aligning	0	पँक्तिलगाना; सम्मिलित करना
allay	allayed	allayed	allaying	0	दबाना{शांत कर देना}
allege	alleged	alleged	alleging	0	बिनासबूतकेआरोपलगाना
alleviate	alleviated	alleviated	alleviating	0	कमकरना
allocate	allocated	allocated	allocating	0	निर्धारित करना; बाँटना
allot	allotted	allotted	allotting	0	देना{बाँटना}
allow	allowed	allowed	allowing	0	अनुमतिदेना; आज्ञादेना; स्वीकारकरना; मानलेना
alloy	alloyed	alloyed	alloying	0	मिलाना
allude	alluded	alluded	alluding	0	संकेतकरना
allure	allured	allured	alluring	0	लुभाना
ally	allied	allied	allying	0	समबद्धकरना
alter	altered	altered	altering	0	बदलजाना
alternate	alternated	alternated	alternating	0	बारी-बारीसेकरना
am	amed	amed	aming	0	हूँ
amalgamate	amalgamated	amalgamated	amalgamating	0	मिलजाना
amass	amassed	amassed	amassing	0	संचितकरना
amaze	amazed	amazed	amazing	0	चकित करना
amble	ambled	ambled	ambling	0	टहलना
ambush	ambushed	ambushed	ambushing	0	घातलगाना
ameliorate	ameliorated	ameliorated	ameliorating	0	सुधारना
amend	amended	amended	amending	0	संशोधनकरना
amortize	amortized	amortized	amortizing	0	किस्तो में ऋण चुकाना
amount	amounted	amounted	amounting	0	केबराबरहोना
